epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,49986.2,0.5549,0.50796,0.89648,0.86069,0.89311,0.93279,0.83735,0.4495,0.40843,0.84346,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,51538.3,0.55103,0.5011,0.89464,0.86407,0.8902,0.933,0.83745,0.44876,0.40677,0.8432,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,53103.8,0.54757,0.49618,0.89405,0.8659,0.88828,0.93327,0.8377,0.44778,0.40611,0.84281,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,54742.9,0.54592,0.49444,0.89404,0.86818,0.88904,0.93349,0.83827,0.44701,0.40469,0.84249,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,56351.1,0.54388,0.48592,0.89255,0.86793,0.88915,0.93378,0.83852,0.44617,0.40325,0.84223,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,57928.9,0.5381,0.47832,0.88882,0.86992,0.88915,0.93411,0.83921,0.44556,0.40212,0.84188,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,59497.7,0.53695,0.47487,0.88792,0.86874,0.89036,0.93428,0.84001,0.4448,0.40172,0.84148,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,61066.2,0.53332,0.46781,0.88648,0.86868,0.89182,0.9346,0.84041,0.44406,0.40051,0.84103,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,62640.4,0.5286,0.45951,0.88504,0.86932,0.89154,0.93472,0.8408,0.4431,0.39889,0.84071,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,64197.8,0.48004,0.39893,0.85313,0.86415,0.89724,0.93489,0.84117,0.44225,0.3973,0.84035,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,65684.1,0.47252,0.38448,0.84973,0.86769,0.89373,0.93548,0.84209,0.44137,0.39585,0.83996,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,67207.2,0.46731,0.37661,0.84711,0.8635,0.9,0.93601,0.84343,0.44062,0.39416,0.83971,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,68744.1,0.46355,0.36699,0.8437,0.86333,0.90112,0.93642,0.84382,0.43992,0.39261,0.83927,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,70367.8,0.45837,0.3589,0.84315,0.86535,0.90141,0.93688,0.84418,0.43903,0.39096,0.83877,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,71882,0.45401,0.35173,0.84139,0.86418,0.90361,0.93739,0.84505,0.43826,0.38926,0.83839,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,73372.2,0.44915,0.34184,0.84003,0.86743,0.90168,0.93765,0.84567,0.43778,0.38809,0.8381,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,74862.5,0.44497,0.33751,0.83949,0.86931,0.90179,0.93783,0.84597,0.43743,0.38647,0.83787,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,76390.1,0.44155,0.32934,0.83671,0.86691,0.90601,0.93808,0.84652,0.43721,0.38517,0.83775,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,77995.6,0.43814,0.32348,0.83676,0.86486,0.90929,0.93731,0.84604,0.43666,0.38417,0.8375,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
